osmid,u,v,length,speed_kph,travel_time
33997807,219808,2327840,26.026139146584356,60.0,1.5615683487950613
201380605,219808,389449562,31.504624878269418,60.0,1.890277492696165
33997784,219811,1832085962,27.905146686195813,60.0,1.6743088011717486
"[1123339577, 178581714]",219811,1465050831,394.65400544971305,60.0,23.679240326982782
4459876,219812,249890545,33.758152523102325,60.0,2.0254891513861395
"[387048069, 901225702]",219812,219811,294.0033618749932,60.0,17.64020171249959
199744986,219816,22297294,173.56997779159548,60.0,10.414198667495729
326724985,219816,1713626002,253.1603301795609,60.0,15.189619810773653
172592203,219818,22297224,166.20296165325692,60.0,9.972177699195415
"[215377456, 178583836]",219818,307268,24.324612743998607,60.0,1.4594767646399163
"[326724980, 308301796]",219818,219816,262.1125646377736,60.0,15.726753878266413
"[308301795, 321360967, 216458719]",219819,219818,337.079294246105,60.0,20.2247576547663
216458721,219819,2257999936,12.425679602708424,60.0,0.7455407761625054
172346024,219821,21729304,135.59444522520786,60.0,8.135666713512471
"[935819731, 764291286]",219821,1889051078,213.01619633394597,60.0,12.780971780036758
192137871,223631,763448262,12.748520582910386,60.0,0.7649112349746231
31376335,223633,3639158302,5.504999028072743,60.0,0.33029994168436455
905243675,223633,13296209260,99.54459137029518,60.0,5.97267548221771
183490454,223634,9705815312,4.5385595556409255,60.0,0.2723135733384555
172425714,223634,254980984,320.76176271759925,60.0,19.245705763055955
183489894,223647,3660091441,462.74492917445974,60.0,27.76469575046758
"[128430240, 770617423]",223648,254980947,328.94025434958843,60.0,19.736415260975303
"[307820386, 321360989]",223677,1715529579,259.335740832198,60.0,15.560144449931878
"[181993293, 769633111]",223677,22299212,342.9682768465859,60.0,20.578096610795154
"[20484331, 307617028]",223680,332542,980.5860324703233,60.0,58.835161948219394
"[307617030, 1257229639, 1257229640, 1257229641, 1257229642, 1257229643, 1257229638, 336728455, 336728454, 1257229622, 1257229623, 1257229628, 1257229629]",223680,9793729350,688.8328617691435,60.0,41.329971706148605
